VBO id	transboundary name as in VBO	OMIA breed_id	xref	source for xref	OMIA breed_name	syn source	syn source	NCBITaxon_species_id	Xlookup NCBITaxon species name	DADIS Transboundary name	Synonyms for transboundary name, to be added	Notes (could be "A rdfs:comment" but unsure whether there is already a comment, so not adding at this point)
VBO:0000965	Freiberger (Horse)	855	OMIA:855		Franches-Montagnes	https://omia.org		9796	Horse	Freiberger		
VBO:0000212	Gelbvieh (Cattle)	209	OMIA:209		Franconian	https://omia.org		9913	Cattle	Gelbvieh		https://www.thecattlesite.com/breeds/beef/54/gelbvieh/
VBO:0001252	French Silver (Rabbit)	605	OMIA:605		French	https://omia.org		9986	Rabbit	French Silver		
VBO:0001133	Finnish Landrace (Pig)	466	OMIA:466		French Landrace	https://omia.org		9823	Pig	Finnish Landrace		
VBO:0000237	Holstein (black and white) (Cattle)	39	OMIA:39		Friesian	https://omia.org		9913	Cattle	Holstein (black and white)		
VBO:0000969	Friesian (Horse)	998	OMIA:998		Friesian	https://omia.org		9796	Horse	Friesian		
VBO:0001418	Fulani (Sheep)	223	OMIA:223		Fulani	https://omia.org		9940	Sheep	Fulani		
VBO:0000528	Fayoumi (Chicken)	443	OMIA:443		Fyoumi	https://omia.org		9031	Chicken	Fayoumi	Fyoumi	
VBO:0000207	Galloway (Cattle)	18	OMIA:18		Galloway	https://omia.org		9913	Cattle	Galloway		
VBO:0001420	Galway (Sheep)	275	OMIA:275		Galway	https://omia.org		9940	Sheep	Galway		
VBO:0000209	Gascon (Cattle)	985	OMIA:985		Gasconne	https://omia.org		9913	Cattle	Gascon	Gasconne	
VBO:0001137	Gascony (Pig)	653	OMIA:653		Gascony	https://omia.org		9823	Pig	Gascony		
VBO:0000212	Gelbvieh (Cattle)	61	OMIA:61		Gelbvieh	https://omia.org		9913	Cattle	Gelbvieh		
VBO:0000090	Aberdeen-Angus (Cattle)	1087	OMIA:1087		German Angus	https://omia.org		9913	Cattle	Aberdeen-Angus		
VBO:0001598	Scottish Blackface (Sheep)	849	OMIA:849		German Blackface	https://omia.org		9940	Sheep	Scottish Blackface		
VBO:0001423	German Blackheaded Mutton (Sheep)	627	OMIA:627		German Blackheaded Mutton	https://omia.org		9940	Sheep	German Blackheaded Mutton		
VBO:0000327	Original German Brown (Cattle)	238	OMIA:238		German Brown	https://omia.org		9913	Cattle	Original German Brown		
VBO:0001604	Skudde (Sheep)	630	OMIA:630		German Heath	https://omia.org		9940	Sheep	Skudde		
VBO:0000768	German Improved Fawn (Goat)	675	OMIA:675		German Improved	https://omia.org		9925	Goat	German Improved Fawn	German Improved	
VBO:0000972	German Riding Pony (Horse)	931	OMIA:931		German Riding Pony	https://omia.org		9796	Horse	German Riding Pony		
VBO:0000215	Gir (Cattle)	65	OMIA:65		Gir	https://omia.org		9913	Cattle	Gir		
VBO:0000216	Girolando (Cattle)	606	OMIA:606		Girolanda	https://omia.org		9913	Cattle	Girolando	Girolanda	
VBO:0000466	Campine (Chicken)	45/1178	OMIA:45/1178	http://orcid.org/0000-0002-9178-3965	Golden Campine	https://omia.org		9031	Chicken	Campine		
VBO:0001631	Swedish Fur (Sheep)	247	OMIA:247		Gotland	https://omia.org		9940	Sheep	Swedish Fur		
VBO:0000222	Grauvieh (Cattle)	171	OMIA:171		Grauvieh	https://omia.org		9913	Cattle	Grauvieh		
VBO:0000533	Green-Legged Partridge (Chicken)	130	OMIA:130		Greenleg	https://omia.org		9031	Chicken	Green-Legged Partridge		
VBO:0000771	Grisons Striped (Goat)	1148	OMIA:1148		Grisons Striped	https://omia.org		9925	Goat	Grisons Striped		
VBO:0001428	Grivette (Sheep)	322	OMIA:322		Grivette	https://omia.org		9940	Sheep	Grivette		
VBO:0000225	Groningen White-Headed (Cattle)	564	OMIA:564		Groningen	https://omia.org		9913	Cattle	Groningen White-Headed		
VBO:0000383	Sokoto Gudali (Cattle)	670	OMIA:670		Gudali	https://omia.org		9913	Cattle	Sokoto Gudali		
VBO:0000227	Guernsey (Cattle)	87	OMIA:87		Guernsey	https://omia.org		9913	Cattle	Guernsey		
VBO:0000166	Brown Swiss (Cattle)	1138	OMIA:1138		Gurtenvieh	https://omia.org		9913	Cattle	Brown Swiss	Gurtenvieh	
VBO:0001429	Gute (Sheep)	1105	OMIA:1105		Gute	https://omia.org		9940	Sheep	Gute		
VBO:0000228	Guzerat (Cattle)	441	OMIA:441		Guzera|Guzerá	https://omia.org		9913	Cattle	Guzerat	Guzerá	
VBO:0000228	Guzerat (Cattle)	581	OMIA:581		Guzerat	https://omia.org		9913	Cattle	Guzerat		
VBO:0000215	Gir (Cattle)	567	OMIA:567		Gyr	https://omia.org		9913	Cattle	Gir		
VBO:0000978	Haflinger (Horse)	956	OMIA:956		Haflinger	https://omia.org		9796	Horse	Haflinger		
VBO:0001431	Hampshire Down (Sheep)	175	OMIA:175		Hampshire	https://omia.org		9940	Sheep	Hampshire Down		
VBO:0001431	Hampshire Down (Sheep)	724	OMIA:724		Hampshire Down	https://omia.org		9940	Sheep	Hampshire Down		
VBO:0000230	Hariana (Cattle)	166	OMIA:166		Hariana	https://omia.org		9913	Cattle	Hariana		
VBO:0000232	Hereford (Cattle)	17	OMIA:17		Hereford	https://omia.org		9913	Cattle	Hereford		
VBO:0000234	Highland (Cattle)	1000	OMIA:1000		Highland	https://omia.org		9913	Cattle	Highland		
VBO:0000235	Hinterwald (Cattle)	205	OMIA:205		Hinterwalder	https://omia.org		9913	Cattle	Hinterwald		
VBO:0000237	Holstein (black and white) (Cattle)	86	OMIA:86		Holstein	https://omia.org		9913	Cattle	Holstein (black and white)		
VBO:0000239	Holstein Friesian (Cattle)	73	OMIA:73		Holstein Friesian	https://omia.org		9913	Cattle	Holstein Friesian		
VBO:0000239	Holstein Friesian (Cattle)	755	OMIA:755		Holstein-Friesian	https://omia.org		9913	Cattle	Holstein Friesian		
VBO:0000986	Holsteiner (Horse)	220	OMIA:220		Holsteiner	https://omia.org		9796	Horse	Holsteiner		
VBO:0000990	Iceland Pony (Horse)	826	OMIA:826		Icelandic	https://omia.org		9796	Horse	Iceland Pony	Icelandic	
VBO:0001444	Ile-De-France (Sheep)	260	OMIA:260		Ile de France	https://omia.org		9940	Sheep	Ile-De-France	Ile de France	
VBO:0001355	Cambridge (Sheep)	869	OMIA:869		Irish Cambridge	https://omia.org		9940	Sheep	Cambridge		
VBO:0000504	Commercial strain- layer- ISA Brown (Chicken)	1058	OMIA:1058		ISA Brown	https://omia.org		9031	Chicken	Commercial strain- layer- ISA Brown		
VBO:0001449	Istrska pramenka (Sheep)	1123	OMIA:1123		Istrian Pramenka	https://omia.org		9940	Sheep	Istrska pramenka	Istrian Pramenka	
VBO:0001450	Jacob (Sheep)	867	OMIA:867		Jacob	https://omia.org		9940	Sheep	Jacob		
VBO:0000780	Jamnapari (Goat)	261	OMIA:261		Jamunapari	https://omia.org		9925	Goat	Jamnapari	Jamunapari	
VBO:0000546	Japanese Game Bantam (Chicken)	1003	OMIA:1003		Japanese game fowl	https://omia.org		9031	Chicken	Japanese Game Bantam	Japanese game fowl	
VBO:0000250	Jersey (Cattle)	46	OMIA:46		Jersey	https://omia.org		9913	Cattle	Jersey		
VBO:0000547	Jersey Giant (Chicken)	417	OMIA:417		Jersey Giant	https://omia.org		9031	Chicken	Jersey Giant		
VBO:0001153	Jia-Xing (Pig)	318	OMIA:318		Jiaxing	https://omia.org		9823	Pig	Jia-Xing	Jiaxing	
VBO:0000253	Kalmyk (Cattle)	712	OMIA:712		Kalmyk	https://omia.org		9913	Cattle	Kalmyk		
VBO:0000783	Kamori (Goat)	1136	OMIA:1136		Kamori	https://omia.org		9925	Goat	Kamori		
VBO:0001458	Karakachan (Sheep)	625	OMIA:625		Karakachan	https://omia.org		9940	Sheep	Karakachan		
VBO:0001461	Karakul (Sheep)	102	OMIA:102		Karakul	https://omia.org		9940	Sheep	Karakul		
VBO:0001582	Romney Marsh (Sheep)	413	OMIA:413		Kent	https://omia.org		9940	Sheep	Romney Marsh		
VBO:0000258	Kerry (Cattle)	101	OMIA:101		Kerry	https://omia.org		9913	Cattle	Kerry		
VBO:0000259	Khillari (Cattle)	363	OMIA:363		Khillar	https://omia.org		9913	Cattle	Khillari	Khillar	
VBO:0000260	Kholmogory (Cattle)	734	OMIA:734		Kholmogor	https://omia.org		9913	Cattle	Kholmogory	Kholmogor	
VBO:0001008	Knabstrupper (Horse)	1045	OMIA:1045		Knabstrupper	https://omia.org		9796	Horse	Knabstrupper		
VBO:0001474	Lacaune (Sheep)	904	OMIA:904		Lacaune	https://omia.org		9940	Sheep	Lacaune		
VBO:0001477	Lacha (Sheep)	370	OMIA:370		Lacha	https://omia.org		9940	Sheep	Lacha		
VBO:0001160	Lacombe (Pig)	152	OMIA:152		Lacombe	https://omia.org		9823	Pig	Lacombe		
VBO:0000267	Lakenvelder (Cattle)	1139	OMIA:1139		Lakenvelder	https://omia.org		9913	Cattle	Lakenvelder		
VBO:0001161	Landrace (Pig)	74	OMIA:74		Landrace	https://omia.org		9823	Pig	Landrace		
VBO:0001162	Large Black (Pig)	568	OMIA:568		Large Black	https://omia.org		9823	Pig	Large Black		
VBO:0001163	Large White (Pig)	51	OMIA:51		Large White	https://omia.org		9823	Pig	Large White		
VBO:0001163	Large White (Pig)	733	OMIA:733		Large White Czech	https://omia.org		9823	Pig	Large White		
VBO:0000505	Commercial strain- layer- Leghorn (Chicken)	279	OMIA:279		Leghorn	https://omia.org		9031	Chicken	Commercial strain- layer- Leghorn		
VBO:0001484	Leicester Longwool (Sheep)	138	OMIA:138		Leicester	https://omia.org		9940	Sheep	Leicester Longwool		
VBO:0001485	Leine (Sheep)	376	OMIA:376		Leine	https://omia.org		9940	Sheep	Leine		
VBO:0000505	Commercial strain- layer- Leghorn (Chicken)	200	OMIA:200		Light Brown Leghorn	https://omia.org		9031	Chicken	Commercial strain- layer- Leghorn		
VBO:0000566	Light Sussex (Chicken)	542	OMIA:542		Light Sussex	https://omia.org		9031	Chicken	Light Sussex		
VBO:0000274	Limousin (Cattle)	58	OMIA:58		Limousin	https://omia.org		9913	Cattle	Limousin		
VBO:0001490	Lincoln Longwool (Sheep)	192	OMIA:192		Lincoln	https://omia.org		9940	Sheep	Lincoln Longwool	Lincoln	
VBO:0001014	Lipizzan horse (Horse)	1072	OMIA:1072		Lipizzan	https://omia.org		9796	Horse	Lipizzan horse	Lipizzan	
VBO:0000507	Commercial strain- layer- Lohmann Brown (Chicken)	1059	OMIA:1059		Lohmann Brown	https://omia.org		9031	Chicken	Commercial strain- layer- Lohmann Brown		
