vbo id	Sabrina's note: VBO names	OMIA breed_id	xref	OMIA breed_name	source	NCBITaxon_species_id	Xlookup NCBITaxon species name	DADIS Breed	DADIS Country	Other names, to be added	Notes (could be "A rdfs:comment" but unsure whether there is already a comment, so not adding at this point)
VBO:0003105	Highland cattle-Sweden	445	OMIA:445	Swedish Highland	https://omia.org	9913	cattle	Highland cattle	Sweden		
VBO:0003122	Holstein-Friesian-Austria	218	OMIA:218	Schwarzbunt	https://omia.org	9913	cattle	Holstein-Friesian	Austria		
VBO:0003180	Holstein-Friesian-India	756	OMIA:756	Indian Holstein	https://omia.org	9913	cattle	Holstein-Friesian	India		
VBO:0003139	Holstein-Friesian-Switzerland	208	OMIA:208	Black Pied Swiss	https://omia.org	9913	cattle	Holstein-Friesian	Switzerland		https://www.krankykids.com/cows/mydailycow_2019/2019_January/20190106.html
VBO:0003139	Holstein-Friesian-Switzerland	705	OMIA:705	Black Spotted Swiss	https://omia.org	9913	cattle	Holstein-Friesian	Switzerland		https://www.krankykids.com/cows/mydailycow_2019/2019_January/20190106.html
VBO:0003139	Holstein-Friesian-Switzerland	1034	OMIA:1034	Swiss Holstein	https://omia.org	9913	cattle	Holstein-Friesian	Switzerland		
VBO:0003179	Holstein-friz-Hungary	203	OMIA:203	Pied Hungarian	https://omia.org	9913	cattle	Holstein-friz	Hungary		
VBO:0003151	Holstynsky-Czechia	651	OMIA:651	Pied	https://omia.org	9913	cattle	Holstynsky	Czechia		
VBO:0012786	Huazhong Two-End Black - Shaziling-China	928	OMIA:928	Shaziling	https://omia.org	9823	pig	Huazhong Two-End Black - Shaziling	China		
VBO:0006695	Huiyang Bearded-China	1054	OMIA:1054	Huiyang Bearded	https://omia.org	9031	chicken	Huiyang Bearded	China		
VBO:0015623	Hyfer-Australia	358	OMIA:358	Hyfer	https://omia.org	9940	sheep	Hyfer	Australia		
VBO:0003317	Indubrazil-Honduras	489	OMIA:489	Indubrazil	https://omia.org	9913	cattle	Indubrazil	Honduras		
VBO:0014736	INRA 401-France	967	OMIA:967	Romane	https://omia.org	9940	sheep	INRA 401	France		
VBO:0007680	Italiana neagra-Romania	548	OMIA:548	Black Leghorn	https://omia.org	9031	chicken	Italiana neagra	Romania		
VBO:0004987	Japanese Black-Japan	234	OMIA:234	Black Japanese	https://omia.org	9913	cattle	Japanese Black	Japan		
VBO:0004987	Japanese Black-Japan	31	OMIA:31	Japanese Black	https://omia.org	9913	cattle	Japanese Black	Japan		
VBO:0004988	Japanese Brown-Japan	330	OMIA:330	Japanese Brown	https://omia.org	9913	cattle	Japanese Brown	Japan		
VBO:0016509	Jezersko-solÄavska ovca-Slovenia	720	OMIA:720	Solcava	https://omia.org	9940	sheep	Jezersko-solÄavska ovca	Slovenia		
VBO:0004892	Kankrej-India	909	OMIA:909	Kankrej	https://omia.org	9915	bos indicus (Zebu)	Kankrej	India		
VBO:0016177	Kazakhskaya Tonkorunnaya-Kazakhstan	219	OMIA:219	Kazakh Finewool	https://omia.org	9940	sheep	Kazakhskaya Tonkorunnaya	Kazakhstan		
VBO:0005124	Kedah-Kelantan-Malaysia	715	OMIA:715	Kedah Kelantan	https://omia.org	9913	cattle	Kedah-Kelantan	Malaysia		
VBO:0005244	Kenana-Sudan	676	OMIA:676	Kenana	https://omia.org	9913	cattle	Kenana	Sudan		
